,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
CEC Plant ID,Plant Name,EIA Plant ID,Resource ID,Resource ID Name,Energy Source Category,City,County,State
E0127,Puente Hills Energy Recovery,10472,WALNUT_6_HILLGEN,Puente Hills,BIOGAS/BIOMASS,Whittier,Los Angeles,CA
E0128,Puente Hills Gas-to-Energy Facility  Phase II (Retired 12/31/2016),10472,RHONDO_6_PUENTE,Puente Hills GTE Facility Phase II,BIOGAS/BIOMASS,Whittier,Los Angeles,CA
E0129,"Spadra Landfill Gas to Energy (Retired September 30, 2015)",10471,CHINO_2_LNDFIL,,BIOGAS/BIOMASS,Pomona,Los Angeles,CA
E0129,"Spadra Landfill Gas to Energy (Retired September 30, 2015)",10471,CHINO_2_QF,CHINO QFS,BIOGAS/BIOMASS,Pomona,Los Angeles,CA
E0130,Palos Verdes Gas to Energy Facility - Retired Oct 2011,10473,LAFRES_6_QF,,BIOGAS/BIOMASS,Rolling Hills Estates,Los Angeles,CA
E0132,Santa Cruz Energy LLC,57197,PSWEET_1_STCRUZ,Santa Cruz Energy LLC,BIOGAS/BIOMASS,Santa Cruz,Santa Cruz,CA
E0134,Modesto Energy - Retired Dec 2002,50294,,,BIOGAS/BIOMASS,Westley,Stanislaus,CA
E0135,Marina Landfill Gas (Monterey Regional Waste Management Dst),10748,CASTVL_7_MRWMD,,BIOGAS/BIOMASS,Marina,Monterey,CA
E0135,Marina Landfill Gas (Monterey Regional Waste Management Dst),10748,CSTRVL_7_PL1X2,Marina Land Fill Gas,BIOGAS/BIOMASS,Marina,Monterey,CA
E0137,Nove Power Plant,50831,RICHMN_7_BAYENV,BAY ENVIRONMENTAL (NOVE POWER),BIOGAS/BIOMASS,Richmond,Contra Costa,CA
E0139,Corona Landfill - Retired Dec 2004,50786,,,BIOGAS/BIOMASS,Corona,Riverside,CA
E0141,Santa Clara - Retired Dec 2005,52207,MNTVIS_1_QF,,BIOGAS/BIOMASS,Santa Clara,Santa Clara,CA
E0142,Penrose Landfill - Retired December 2005,54326,,,BIOGAS/BIOMASS,Sun Valley,Los Angeles,CA
E0143,Toyon Landfill Gas Conversion LLC (Indef Shutdown 6/2015),54327,,,BIOGAS/BIOMASS,Los Angeles,Los Angeles,CA
E0144,Salinas - Closed August 2009,52205,PRNDAL_7_COVANT,,BIOGAS/BIOMASS,Salinas,Monterey,CA
E0146,Byxbee Park Sanitary Landill - Retired December 2004,54252,,,BIOGAS/BIOMASS,Palo Alto,Santa Clara,CA
E0150,Stanislaus Resource Recovery Facility,50632,STNRES_1_UNIT,Covanta Stanislaus,BIOGAS/BIOMASS,Crows Landing,Stanislaus,CA
E0152,MM West Covina LLC,54015,WALNUT_7_WCOVCT,WALNUT_7_WCOVCT,BIOGAS/BIOMASS,West Covina,Los Angeles,CA
E0152,MM West Covina LLC,54015,WALNUT_7_WCOVST,MM West Covina - ST Unit,BIOGAS/BIOMASS,West Covina,Los Angeles,CA
E0153,Bradley Landfill,56533,,,BIOGAS/BIOMASS,Los Angeles,Los Angeles,CA
E0154,MM Yolo Power LLC Facility,54567,DAVIS_7_MNMETH,MM Yolo Power LLC,BIOGAS/BIOMASS,Davis,Yolo,CA
E0155,Aliso Water Management Agency (Retired 12/26/2016),10820,,,BIOGAS/BIOMASS,Laguna Niguel,Orange,CA
E0165,Wheelabrator Hudson Energy - Retired 2003 and 2014,10037,JESSUP_1_HUDSON,,BIOGAS/BIOMASS,Anderson,Shasta,CA
E0168,MM Lopez Energy LLC,55161,SAUGUS_7_LOPEZ,MM Lopez Energy,BIOGAS/BIOMASS,Lake View Terrace,Los Angeles,CA
E0171,Gas Utilization Facility (Pt. Loma Sewage TP),50492,CBRLLO_6_PLSTP1,,BIOGAS/BIOMASS,San Diego,San Diego,CA
E0174,SPI - Anderson (Retired 7/27/2015),55049,SPIAND_1_ANDSN2,SPI Anderson 2,BIOGAS/BIOMASS,Anderson,Shasta,CA
E0174,SPI - Anderson (Retired 7/27/2015),55049,SPIAND_1_UNIT,SPI Anderson 2,BIOGAS/BIOMASS,Anderson,Shasta,CA
E0179,Newby Island I,10388,MNTAGU_7_NEWBYI,,BIOGAS/BIOMASS,San Jose,Santa Clara,CA
E0181,Sunnyvale Water Pollution Control Plant,57557,LAWRNC_7_SUNYVL,City of Sunnyvale Unit 1 and 2,BIOGAS/BIOMASS,Sunnyvale,Santa Clara,CA
E0194,MM Prima Deshecha Energy LLC,55601,CPSTNO_7_PRMADS,PRIMA DESCHECHA (CAPISTRANO),BIOGAS/BIOMASS,San Juan Capistrano,Orange,CA
E0195,Central LF (Sonoma) Phase I,55752,SNMALF_6_UNITS,Sonoma County Landfill,BIOGAS/BIOMASS,Petaluma,Sonoma,CA
E0196,Central LF (Sonoma) Phase II,55753,SNMALF_6_UNITS,Sonoma County Landfill,BIOGAS/BIOMASS,Petaluma,Sonoma,CA
E0197,Central LF (Sonoma) Phase III,55880,SNMALF_6_UNITS,Sonoma County Landfill,BIOGAS/BIOMASS,Petaluma,Sonoma,CA
E0201,Buena Vista Biomass,58472,JAKVAL_2_IONE,,BIOGAS/BIOMASS,Ione,Amador,CA
E0201,Buena Vista Biomass,58472,JAKVAL_6_UNITG1,,BIOGAS/BIOMASS,Ione,Amador,CA
E0202,MM San Diego LLC - North City,55602,EGATE_7_NOCITY,,BIOGAS/BIOMASS,San Diego,San Diego,CA
E0203,Kiefer Landfill Gas-to-Energy Facility,55766,,,BIOGAS/BIOMASS,Sloughhouse,Sacramento,CA
E0204,MN Colton Genco LLC (Retired 2013),56167,COLTON_7_LNDFIL,,BIOGAS/BIOMASS,Colton,San Bernardino,CA
E0205,Miramar Energy LLC LFG,55094,,,BIOGAS/BIOMASS,San Diego,San Diego,CA
E0206,MN Milliken Genco LLC (Retired 2014),56171,CHINO_7_MILIKN,MN Milliken Genco LLC,BIOGAS/BIOMASS,Ontario,San Bernardino,CA
E0207,El Sobrante Landfill (Retired 9/30/2016),56534,VALLEY_7_UNITA1,,BIOGAS/BIOMASS,Corona,Riverside,CA
E0208,Simi Valley Landfill (Retired 9/30/2016),56535,MOORPK_7_UNITA1,,BIOGAS/BIOMASS,Simi Valley,Ventura,CA
E0209,MN Mid Valley Genco LLC (retired 12/31/2016),56170,ETIWND_7_MIDVLY,,BIOGAS/BIOMASS,Rialto,San Bernardino,CA
E0210,RCWMD Badlands Power Plant,55820,VALLEY_&_BADLND,,BIOGAS/BIOMASS,Moreno Valley,Riverside,CA
E0210,RCWMD Badlands Power Plant,55820,VALLEY_7_BADLND,,BIOGAS/BIOMASS,Moreno Valley,Riverside,CA
E0211,Oxnard Wastewater Treatment Plant,50224,SNCLRA_6_QF,SANTA CLARA QFS,BIOGAS/BIOMASS,Oxnard,Ventura,CA
E0212,Total Energy Facilities,10091,MESAS_2_QF,MESA QFS,BIOGAS/BIOMASS,Carson,Los Angeles,CA
E0212,Total Energy Facilities,10091,SANITR_6_UNITS,LACSD CARSON WATER POLLUTION AGGREGATE,BIOGAS/BIOMASS,Carson,Los Angeles,CA
E0213,DTE Stockton (POSDEF Repower C0004),54238,COGNAT_1_UNIT,Stockton Biomas,BIOGAS/BIOMASS,Stockton,San Joaquin,CA
E0214,Ameresco Santa Cruz Energy,56428,GRNVLY_7_SCLAND,SANTA CRUZ LANDFILL GENERATING PLANT,BIOGAS/BIOMASS,Watsonville,Santa Cruz,CA
E0217,Ameresco Keller Canyon,56897,KIRKER_7_KELCYN,KELLER CANYON LANDFILL GEN FACILICITY,BIOGAS/BIOMASS,Pittsburg,Contra Costa,CA
E0218,Ameresco Half Moon Bay (Ox Mountain Landfill),56895,OXMTN_6_LNDFIL,Ox Mountain Landfill Generating Plant,BIOGAS/BIOMASS,Half Moon Bay,San Mateo,CA
E0225,Lincoln Landfill - WPWMA,57362,PLSNTG_7_LNCLND,Lincoln Landfill Power Plant,BIOGAS/BIOMASS,Lincoln,Placer,CA
E0226,Bowerman Power Landfill Gas,59461,SANTGO_2_LNDFL1,Bowerman Power,BIOGAS/BIOMASS,Irvine,Orange,CA
E0227,Calabasas Gas-to-Energy Facility,57163,MOORPK_2_CALABS,Calabasas Gas-to-Energy Facility,BIOGAS/BIOMASS,Agoura,Los Angeles,CA
E0228,Santa Maria II Landfill,57101,SISQUC_1_SMARIA,Santa Maria II LFG Power Plant,BIOGAS/BIOMASS,Santa Maria,Santa Barbara,CA
E0232,Mt. Poso Cogeneration,54626,MTNPOS_1_UNIT,MT.POSO COGENERATION CO.,BIOGAS/BIOMASS,Bakersfield,Kern,CA
E0236,Hay Road,58320,PEABDY_2_LNDFIL,G2 Energy Hay Road Power Plant,BIOGAS/BIOMASS,Vacaville,Solano,CA
E0237,Ostrom Road,57133,WHEATL_6_LNDFIL,"G2 ENERGY, OSTROM ROAD LLC",BIOGAS/BIOMASS,Wheatland,Yuba,CA
E0242,EBMUD Wastewater Treatment Plant Digester Gas Turbine,57696,,,BIOGAS/BIOMASS,Oakland,Alameda,CA
E0243,Roseburg Forest Products,56469,,,BIOGAS/BIOMASS,Weed,Siskiyou,CA
E0244,North City Cogeneration Facility Expansion (NCCFE),,,,BIOGAS/BIOMASS,San Diego,San Diego,CA
E0248,Ameresco Butte County Neal Road Landfill,57771,ESQUON_6_LNDFIL,Neal Road Landfill Generating Facility,BIOGAS/BIOMASS,Paradise,Butte,CA
E0249,Brea Expansion Plant - Brea Power II LLC,58007,OLINDA_2_LNDFL2,Brea Power II,BIOGAS/BIOMASS,Brea,Orange,CA
E0250,Ameresco Chiquita Energy,56898,SAUGUS_7_CHIQCN,Chiquita Canyon Landfill Fac,BIOGAS/BIOMASS,Castaic,Los Angeles,CA
E0251,Encina Water Pollution Control,10026,,,BIOGAS/BIOMASS,Carlsbad,San Diego,CA
E0252,Ameresco Forward LLC,58437,WEBER_6_FORWRD,Forward,BIOGAS/BIOMASS,Manteca,San Joaquin,CA
E0253,Ameresco San Joaquin LLC,58436,CORRAL_6_SJOAQN,Ameresco San Joaquin,BIOGAS/BIOMASS,Linden,San Joaquin,CA
E0254,Cold Canyon,58379,SANLOB_1_LNDFIL,Cold Canyon,BIOGAS/BIOMASS,San Luis Obispo,San Luis Obispo,CA
E0255,Ameresco Johnson Canyon,58397,GONZLS_6_UNIT,Johnson Canyon Landfill,BIOGAS/BIOMASS,Gonzales,Monterey,CA
E0256,Toland Road Landfill (Ventura),,SAUGUS_2_TOLAND,Toland Landfill gas to Energy Project,BIOGAS/BIOMASS,Santa Paula,Ventura,CA
E0257,ABEC Bidart-Old River LLC,58699,OLDRIV_6_BIOGAS,Bidart Old River 1,BIOGAS/BIOMASS,Bakersfield,Kern,CA
E0258,Sunshine Gas Producers Renewable Energy Project,58429,SUNSHN_2_LNDFL,Sunshine Gas Producers,BIOGAS/BIOMASS,Sylmar,Los Angeles,CA
E0258,Sunshine Gas Producers Renewable Energy Project,58429,SUNSHN_2_LNDFL1,SUNSHN_2_LNDFL1,BIOGAS/BIOMASS,Sylmar,Los Angeles,CA
E0258,Sunshine Gas Producers Renewable Energy Project,58429,SUNSHN_2_LNDFL2,SUNSHN_2_LNDFL2,BIOGAS/BIOMASS,Sylmar,Los Angeles,CA
