State,TypeCode,CECPlantID,EIAPlantID,Unit,LastOfCapacity,Aging,OTC,Peaker,PMCC,NewCombinedCycleUnit,CombinedCycle,StartDate,MaxOfRetireDate,PrimeMoverID,PrimeMoverDesc,PriEnergySource,Description
CA,E,E0064,54469,GEN 1,9.37,0,0,0,0,0,0,12/1/1985 0:00,10/20/2012 0:00,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0064,54469,GEN 2,9.37,0,0,0,0,0,0,12/1/1985 0:00,10/20/2012 0:00,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0071,58435,Unit 1,2.17,0,0,0,0,0,0,2/22/2014 0:00,,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0071,58435,Unit 2,2.17,0,0,0,0,0,0,2/22/2014 0:00,,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0075,10386,Unit 1,0.93,0,0,0,0,0,0,12/1/1985 0:00,,GT,Combustion (gas) Turbine,LFG,Landfill Gas
CA,E,E0075,10386,Unit 2,0.93,0,0,0,0,0,0,12/1/1985 0:00,,GT,Combustion (gas) Turbine,LFG,Landfill Gas
CA,E,E0078,50110,GEN 1,20,0,0,0,0,0,0,10/1/1986 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0081,50112,GEN 1,20,0,0,0,0,0,0,12/1/1986 0:00,3/19/2018 0:00,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0081,50112,GEN 2,7.5,0,0,0,0,0,0,4/1/1999 0:00,3/19/2018 0:00,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0081,50112,GEN 3,35.27,0,0,0,0,0,0,3/19/2018 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0082,50113,GEN 1,12.65,0,0,0,0,0,0,11/1/1985 0:00,12/31/2004 0:00,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0082,50113,GEN 2,1.69,0,0,0,0,0,0,11/1/1985 0:00,12/31/2004 0:00,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0084,50111,GEN 1,20,0,0,0,0,0,0,9/1/1989 0:00,8/20/2010 0:00,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0086,50881,Unit 4,7.85,0,0,0,0,0,0,1/1/1987 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0086,50881,Units 1-3,54.9,0,0,0,0,0,0,1/1/1987 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
